Keyword,Assigned Category
Peach Fruit Juice Drink,Other fruit juice
No Added Sweeteners Apple Juice,Apple juice
Enriched Water,Enhanced water
Coconut Pineapple Drink Mix,Flavored or carbonated water
Pre Workout Drink,Sport and energy drinks
Cranberry Grape Juice Drink,Other fruit juice
Mango Punch Fruit Juice,Other fruit juice
Cranberry Pineapple Juice Cocktail,Other fruit juice
White Cranberry Peach Juice Cocktail,Other fruit juice
Cranberry Strawberry Juice Cocktail,Other fruit juice
Powder Drink Mix,Other diet drinks
Crystal Light,Other diet drinks
Cranberry Apple Juice Drink,Other fruit juice
Berry Blend Juice,Other fruit juice
White Grape Juice,Other fruit juice
Apple White Grape Juice,Other fruit juice
Cranberry Apple Juice,Other fruit juice
Non-Dairy Milk Alternative,Milk substitutes
Nut Milk,Milk substitutes
Zero Sugar Fruit Punch Juice,Fruit drinks
Cranberry Mango Juice Drink,Other fruit juice
Fruit Punch Juice Cocktail,Other fruit juice
Kiwi Mucho Mango Juice Cocktail,Other fruit juice
Berry Blue Typhoon,Fruit drinks
Cherry Drink,Fruit drinks
Coarse Ground Coffee,Coffee
Peach Mango Drink Mix,Other diet drinks
Mocha Latte,Coffee
Orange Fruit Juice Drink,Other fruit juice
Zero Sugar Lemonade Juice,Fruit drinks
Mango Peach Juice Beverage,Other fruit juice
White Cranberry Peach Juice,Other fruit juice
Tropical Fruit Juice,Other fruit juice
Grape Drink,Fruit drinks
Espresso,Coffee
Pulp Free Orange Juice,Citrus juice
Lemonade Soda,Fruit drinks
Mandarin Oranges,Other fruits and fruit salads
Ground Espresso Coffee,Coffee
Low Acid Orange Juice,Other fruit juice
Cafe con Leche K-Cup Pods,Coffee
Kool Aid Jammers,Fruit drinks
Fruit Juice Blend,Other fruit juice
Pink Lemonade,Fruit drinks
Coffee Beverage Mix,Coffee
Instant Espresso Coffee,Coffee
Cranberry Juice Blend,Other fruit juice
Pomegranate Blueberry Juice,Other fruit juice
Coffee K-Cup,Coffee
Pumpkin Coffee,Coffee
Mahogany Coffee,Coffee
Caribou Blend Coffee,Coffee
Caramel Hideaway Coffee Pods,Coffee
K-Cup Coffee,Coffee
Strawberry Banana Nectar,Other fruit juice
Kiwi Strawberry Juice,Other fruit juice
Naturally Flavored Lemonade,Fruit drinks
Caramel Flavored Coffee,Coffee
Mango Nectar,Other fruit juice
Watermelon Limeade Drink Mix,Flavored or carbonated water
Fruit Punch Juice Boxes,Fruit drinks
Capri Sun,Fruit drinks
Berry Juice Box Pouches,Fruit drinks
Stick Pack,Protein and nutritional powders
Canned Coffee Drink,Coffee
Pineapple Tidbits,Pineapple
French Roast Coffee Pods,Coffee
Espresso Beverage,Coffee
Pineapple Drink,Flavored or carbonated water
Cranberry Raspberry Juice,Other fruit juice
Ruby Red Grapefruit Juice,Other fruit juice
Kiwi Strawberry Juice Drink,Fruit drinks
Cranberry Cherry Juice Drink,Other fruit juice
Mango Lemonade,Fruit drinks
Blueberry Lemonade,Fruit drinks
Cranberry Mango Juice Cocktail,Other fruit juice
Zero Sugar Iced Tea Mix,Other diet drinks
Caramel Coffee,Coffee
Watermelon Cherry Juice Beverage,Other fruit juice
Cranberry Elderberry Juice,Other fruit juice
Half Caff Ground Coffee,Coffee
Surfin' Strawberry Citrus Juice,Fruit drinks
Guava Nectar,Other fruit juice
Watermelon Berry Juice,Fruit drinks
Orange Peach Mango Juice,Other fruit juice
Fruit Juice,Other fruit juice
Medium-Dark Roast Coffee,Coffee
Orange Pineapple Apple Juice,Other fruit juice
Black Silk Coffee,Coffee
Strawberry Kiwi Energy Drink,Diet sport and energy drinks
Tropical Punch Fruit Juice,Fruit drinks
Decaffeinated Ground Coffee,Coffee
Decaf Coffee Bags,Coffee
Mocha Cappuccino,Coffee
Orange Pineapple Juice Beverage,Fruit drinks
Vegetable Juice Smoothie,Smoothies
Orange Pineapple Apple Juice Cocktail,Other fruit juice
Unsweetened Cranberry Juice,Other fruit juice
Regular Ground Coffee,Coffee
Strawberry Lemonade Drink Pouches,Fruit drinks
Tropical Punch Juice Drink,Fruit drinks
Decaf Cinnamon French Toast Coffee,Coffee
Pineapple Mango Juice,Other fruit juice
Strawberry Kiwi Tea,Flavored or carbonated water
Tropical Punch Flavored Drink,Fruit drinks
Cranberry Pomegranate Juice,Other fruit juice
Cranberry Watermelon Juice,Other fruit juice
Decaffeinated Coffee Pods,Coffee
Protein Smoothie,Smoothies
Chamoy Mega Juice,Fruit drinks
Raspberry Juice Drink,Fruit drinks
Cinnamon Roll Coffee Pods,Coffee
Apple Prune Juice,Other fruit juice
Ocean Blue Lemonade,Fruit drinks
Orange Tangerine Juice,Other fruit juice
Decaf Hazelnut Coffee,Coffee
Antioxidant Juice Blend,Other fruit juice
Pumpkin Spice Flavored Coffee,Coffee
Cherry Juice,Other fruit juice
Cran Raspberry Lemonade Juice Drink,Fruit drinks
Pink Cranberry Juice,Other fruit juice
Pomegranate Juice Drink,Fruit drinks
Peach Lemonade,Fruit drinks
Blueberry Blast Flavored Drink,"Flavored milk, nonfat"
Beet Juice Blend,Vegetable juice
Portside Blend Coffee,Coffee
Black Cherry Juice,Other fruit juice
Decaf Whole Bean Coffee,Coffee
Cranberry Blueberry Acai Juice,Other fruit juice
Coffee Packs,Coffee
Sugar-Free Lemonade,Other diet drinks
Mango Fruit Juice,Other fruit juice
Strawberry Fruit Juice,Other fruit juice
Zero Sugar Apple Juice Drink,Other fruit juice
Coffee Capsules,Coffee
Tropical Fruit Mix,Other fruits and fruit salads
Coffee Portion Packs,Coffee
Protein Juice,Nutritional beverages
Peet's Coffee,Coffee
Colombia Luminosa K-Cup Pack,Coffee
Pomegranate Cherry Juice,Other fruit juice
Passion Fruit Cocktail,Other fruit juice
Hibiscus Fruit Juice,Other fruit juice
Sparkling Cranberry Juice,Fruit drinks
Mixed Berry Juice,Other fruit juice
Fruit Juice Drink,Fruit drinks
Peanut Butter Cup Flavored Iced Coffee,"Flavored milk, whole"
Fruit Juice Variety Pack,Other fruit juice
Cookie Flavored Iced Coffee,"Flavored milk, nonfat"
Espresso & Cream,Coffee
Blended Iced Coffee Drink,Coffee
Cold-Pressed Coffee Drink,Coffee
Coffee Concentrate,Coffee
Apple Cider Vinegar Refresher,Other diet drinks
White Chocolate Mocha Coffee Drink,Coffee
Smoothie Mix,Smoothies
Juice Drink Variety Pack,Fruit drinks
Sparkling Pear Cider,Other fruit juice
Tropicana Variety Pack,Fruit drinks
Sour Apple Flavored Drink,Fruit drinks
Iced Espresso Mocha,Coffee
Smoothie Starter Pack,Smoothies
Apple Cider Drink Mix,Other fruit juice
Pumpkin Spice Coffee Drink,Coffee
Plum Juice,Other fruit juice
Ready-to-drink Coffee,Coffee
Fruit Punch Soda Pack,Fruit drinks
Pumpkin Spice Frappuccino,Coffee
Fruit Pouches,Other fruits and fruit salads
Salted Caramel Energy Drink,Diet sport and energy drinks
Original Blend Coffee,Coffee
Taco Dinner Kit,Burritos and tacos
Tomatillo Salsa,Dips
Fruit Juice Drink Boxes,Fruit drinks
Pink Beans,"Beans, peas, legumes"
Flavored K Cups,Coffee
Electrolyte Solution,Nutritional beverages
Sugar-Free Apple Cider Mix,Other diet drinks
Hot Taco Sauce,Tomato-based condiments
Lady Fingers Biscuits,"Biscuits, muffins, quick breads"
Elbow Pasta,Pasta
Sofrito Tomato Base,"Pasta sauces, tomato-based"
Passion Orange Drink,Fruit drinks
Palmeritas,"Doughnuts, sweet rolls, pastries"
Chipotle Peppers,Other Mexican mixed dishes
Flavored Ground Coffee,Coffee
Espresso-Style Coffee Pods,Coffee
French Vanilla K-Cups,Coffee
Caramel Flavored Ground Coffee,Coffee
Decaf Coffee K-Cups,Coffee
Espresso-Style Coffee,Coffee
Cold Coffee Pods,Coffee
Oyster Sauce,Soy-based condiments
Marinade,Other sauces
Spicy Chicken Noodle Soup,Soups
Pork Egg Rolls,Eggrolls
Spicy Chili Crisp Sauce,Tomato-based condiments
Sweet & Sour Sauce,Other sauces
General Tso Stir-Fry Sauce,Stir-fry
Hoisin Sauce,Soy-based condiments
Biscoff Cookies,Cookies and brownies
Orange Sauce,"Pasta sauces, tomato-based"
Green Pigeon Peas,"Beans, peas, legumes"
Beef Tamales,Other Mexican mixed dishes
Yum Yum Sauce,Other sauces
Herb & Garlic Marinade,Other sauces
Teriyaki Sauce,Other sauces
Soy Sauce,Soy-based condiments
Ham Flavored Concentrate,Other sauces
Smoked Meat Stick,Cured meats
Slim Jim,Cured meats
Meat Sticks,Cured meats
Snack Sticks,Cured meats
Sweet Treats Variety Pack,Cookies and brownies
Cheese & Caramel Popcorn Mix,Popcorn
Beef Stick,Cured meats
Buttery Toffee Popcorn,Popcorn
Cheese and Caramel Popcorn,Popcorn
Cheese and Turkey Sticks,Cheese
Butter Flavored Popcorn,Popcorn
Butter Popcorn,Popcorn
Zero Sugar Jerky,Cured meats
Teriyaki Meat Stick,Cured meats
Beef Strips,Cured meats
Beef Sticks,Cured meats
Beef Steaks,"Beef, excludes ground"
Cheese and Beef Sticks,Cheese
Caramel Popcorn with Peanuts,Popcorn
Pancake & Sausage on a Stick,Turnovers and other grain-based items
Kettle Corn Microwave Popcorn,Popcorn
Caramel Popcorn,Popcorn
Slim Jim Snack Stick,Cured meats
Kettle Popcorn,Popcorn
Strawberry Fruit Snacks,Nutrition bars
Turkey Sausage Snack Sticks,Sausages
Cheese Popcorn,Popcorn
Beef Steak Bites,Cold cuts
Jerky Variety Pack,Cured meats
Granola Minis,Nutrition bars
Biltong,Cured meats
Venison Jerky Stick,Cured meats
Gluten Free Sausages,Sausages
Cheese and Salami Sticks,Deli and cured meat sandwiches
Pork Bites,Cured meats
Sea Salt Popcorn,Popcorn
Meat Stick,Cured meats
Beef and Cheese Snack,Meat mixed dishes
Pickled Sausages,Pickled vegetables
Bugles,"Tortilla, corn, other chips"
Caramel Coated Popcorn & Peanuts,Popcorn
Popcorn Topping,Other sauces
Popcorn Butter,Popcorn
Tender Bites,Cold cuts
White Popcorn,Popcorn
Meat Sticks Jerky,Cured meats
Dried Beef,Cured meats
Smoked Snack Sticks,Deli and cured meat sandwiches
Teriyaki Jerky,Cured meats
Popcorn Snack,Popcorn
Jerky Sticks,Cured meats
Steak Fajitas,Meat mixed dishes
Teriyaki Snack Sticks,Cured meats
Snickers Popcorn,Popcorn
Oreo Popcorn,Popcorn
Fig Bar,Nutrition bars
Salami and Cheese,Cured meats
Hot and Spicy Popcorn,Popcorn
Mixed Berry Snack Pouches,Smoothies
Gourmet Popcorn,Popcorn
TWIX Popcorn,Popcorn
Fajita Beef Strips,Meat mixed dishes
Pepperoni,Cured meats
Zero Sugar Beef Jerky,Cured meats
Avocado Oil Popcorn,Popcorn
Tender Strips,Cold cuts
Teriyaki Snack Stick,Cured meats
Jalapeno Deli Stick,Deli and cured meat sandwiches
Dark Chocolate Popcorn,Popcorn
Simply Salted Popcorn,Popcorn
Fruity Pebbles Popcorn,Popcorn
Mini Pretzels,Pretzels/snack mix
Cheddar Pretzels,Pretzels/snack mix
Gluten-Free Pretzel Sticks,Pretzels/snack mix
Honey Mustard Pretzel Twists,Pretzels/snack mix
Protein Snack Bars,Nutrition bars
Pretzel Pieces,Pretzels/snack mix
Butter Snaps Pretzels,Pretzels/snack mix
Pretzel Sandwiches,Pretzels/snack mix
Butter Seasoned Pretzel Twists,Pretzels/snack mix
White Fudge Dipped Pretzels,Pretzels/snack mix
Movie Popcorn,Popcorn
Pretzel Snaps,Pretzels/snack mix
Cheddar Cheese Pretzel Pieces,Pretzels/snack mix
Cotton Candy Popcorn,Popcorn
Buttery Popcorn,Popcorn
Maple Bacon Popcorn,Popcorn
Garlic Parmesan Pretzel Crisps,Pretzels/snack mix
Caramel & Kettle Mix Popcorn,Popcorn
Breakfast Bars,Cereal bars
Twisted Pretzel Sticks,Pretzels/snack mix
Caramel Coated Popcorn & Peanut,Popcorn
Popcorn Popper,Popcorn
Double Drizzle Popcorn,Popcorn
Caramel Corn,Popcorn
Popcorn Kit,Popcorn
Cheese and Pretzel Bites,Pretzels/snack mix
Buffalo Wing Pretzel Crisps,Pretzels/snack mix
Jalapeno Ranch Pretzel Sticks,Pretzels/snack mix
Pretzel Flats,Pretzels/snack mix
Sour Cream & Onion Pretzel Sticks,Pretzels/snack mix
Popcorn Snack Pack,Popcorn
Butter Pretzels,Pretzels/snack mix
Popcorn Snack Bags,Popcorn
Unsalted Pretzels,Pretzels/snack mix
Funfetti Popcorn,Popcorn
Butter Braided Pretzels,Pretzels/snack mix
Honey Wheat Pretzels,Pretzels/snack mix
Nacho Cheese Pretzel Sticks,Pretzels/snack mix
Everything Pretzel Crisps,Pretzels/snack mix
Dark Chocolate Covered Pretzels,Pretzels/snack mix
Popcorn Multi Pack,Popcorn
Mochi Crunch and Nori Popcorn,Popcorn
Pretzel Variety Pack,Pretzels/snack mix
Parmesan Garlic Popcorn,Popcorn
Nice Spice Popcorn,Popcorn
Jalapeno Pretzel Pieces,Pretzels/snack mix
Pretzel Dipping Sticks,Pretzels/snack mix
Fudge Covered Pretzels,Pretzels/snack mix
Yellow Popcorn,Popcorn
Almond Butter Pretzel Nuggets,Pretzels/snack mix
Cheese & Pretzel Bites,Cheese
Valley Pop,Popcorn
Microwave Popcorn Popper,Popcorn
Butter Substitute,Margarine
Popcorn Butter Spray,Popcorn
Party Mix,Pretzels/snack mix
Dried Mixed Fruit,Dried fruits
Dried Fruits,Dried fruits
Dried Cherries,Dried fruits
Mango Chili,Dried fruits
Freeze Dried Strawberry Fruit Crisps,Dried fruits
Sun-Dried Figs,Dried fruits
Smyrna Figs,Dried fruits
Tamarind Chili,Other fruits and fruit salads
Golden Raisins,Dried fruits
Baked Cheese Curls,"Tortilla, corn, other chips"
Aged White Cheddar,Cheese
Vanilla Wafer Cookies,Cookies and brownies
Peanut Butter Sandwich Cookie,Cookies and brownies
Fudge Striped Shortbread Cookies,Cookies and brownies
Fudge-Covered Peanut Butter-Filled Cookies,Cookies and brownies
Iced Oatmeal Cookies,Cookies and brownies
Roasted Peanuts,Nuts and seeds
Fudge Mint Cookies,Cookies and brownies
Pecan Shortbread Cookies,Cookies and brownies
Caramel Coconut & Fudge Cookies,Cookies and brownies
Sandwich Cookies,Cookies and brownies
Strawberry Creme Wafer Cookies,Cookies and brownies
Fudge Covered Peanut Butter Sandwich Cookies,Cookies and brownies
Vanilla Creme Wafer Cookies,Cookies and brownies
Oatmeal Creme Pies,Cookies and brownies
Fudge Graham Cookies,Cookies and brownies
Shortbread Cookies,Cookies and brownies
Chocolate Creme Wafer Cookies,Cookies and brownies
Vanilla Wafers,Cookies and brownies
Vanilla Sandwich Creme Cookies,Cookies and brownies
Nutty Buddy,Cakes and pies
Strawberry Bar Cookies,Cookies and brownies
Star Crunch Cosmic Snacks,Cookies and brownies
Butter Cinnamon Pecans,Nuts and seeds
Chewy Chocolate Chip Cookies,Cookies and brownies
Spicy Queso Snack,"Tortilla, corn, other chips"
Jalapeno Fiesta Dip,Dips
Street Corn Dip,Dips
Jalapeno Dip,Dips
Marias Cookies,Cookies and brownies
Pumpkin Seed Kernels,Nuts and seeds
Enchilada Dip,Dips
Nacho Cheese Dip,Dips
Pretzels and Cheese Dip,Pretzels/snack mix
Mango Salsa,Dips
Gourmet Salsa,Dips
Salt & Pepper Pistachios,Nuts and seeds
Doritos Dip,Dips
Salsa Con Queso Cheese Dip,Dips
Protein Wafer Crisps,Nutrition bars
Port Wine Cheese,Cheese
Veggie Crisps,"Tortilla, corn, other chips"
Pimento Cheese Spread,Dips
Virginia Peanuts,Nuts and seeds
Chickpea Veggie Crisps,"Bean, pea, legume dishes"
Double-Crunch Peanuts,Nuts and seeds
Hot Nuts,Nuts and seeds
Salt and Vinegar Peanuts,Nuts and seeds
Cheddar & Horseradish Spread,Cheese
Mexican Dipping Cheese,Cheese
Zesty Ranch Dipping Sauce,Dips
Bacon Sunflower Seeds,Nuts and seeds
Garlic Aioli,Dips
Lime Tortilla Chips,"Tortilla, corn, other chips"
Nut Variety Pack,Nuts and seeds
Peanut Butter Nuts,Nuts and seeds
Tajin Peanuts,Nuts and seeds
Barbecue Potato Chips,Potato chips
Cheese Spread,Cheese
Queso Blanco Cheese Sauce,Cheese
Thick & Chunky Salsa,Dips
In-Shell Peanuts,Nuts and seeds
Cheddar Cheese Sauce,Cheese
Green Salsa,Dips
Green Taco Sauce,Other Mexican mixed dishes
Fire Roasted Tomato Salsa,"Pasta sauces, tomato-based"
Honey Almonds Glazed Mix,Nutritional beverages
Pistachio Nuts,Nuts and seeds
Light Cream Cheese,Cream cheese
Japanese Style Peanuts,Nuts and seeds
Cashew Mix,Nuts and seeds
Roasted Chestnuts,Nuts and seeds
Sour Cream & Onion Potato Crisps,Potato chips
Hazelnuts,Nuts and seeds
Flamin Hot Fries,"Tortilla, corn, other chips"
Salsa Mix,Dips
Sea Salt & Cracked Pepper Potato Chips,Potato chips
Corn Nuts Variety Pack,"Tortilla, corn, other chips"
Habanero Hot Salsa,Dips
Baked Potato Crisps,Potato chips
Flaxseed,Nuts and seeds
Bacon Ranch Dip,Dips
Cheddar Bacon Dip,Dips
Cheddar and Sour Cream Chips,Potato chips
Praline Pecans,Nuts and seeds
Pepitas (Pumpkin Seeds),Nuts and seeds
Cajun Two Step Money Dip,Dips
Salt and Lime Peanuts,Nuts and seeds
Salsa Di Pomidoro,"Pasta sauces, tomato-based"
Tomato Salsa Mix,Dips
Wheat Crackers,"Crackers, excludes saltines"
Hot and Spicy Cheese Crackers,"Crackers, excludes saltines"
Southwest Ranch Dip,Dips
Biscuit Cookies,Cookies and brownies
Dill Pickle Potato Chips,Potato chips
Artichoke Bruschetta,Dips
Biscuit Sandwiches,Egg/breakfast sandwiches
Honey BBQ Corn Snacks,"Tortilla, corn, other chips"
Hamburger Helper,"Pasta mixed dishes, excludes macaroni and cheese"
Blackberry Salsa,Dips
Sea Salt & Vinegar Potato Chips,Potato chips
Cinnamon Crunch,"Tortilla, corn, other chips"
Reduced Fat Crackers,"Crackers, excludes saltines"
Snack Waffle,Nutrition bars
Frosted Flakes Cereal,"Ready-to-eat cereal, higher sugar (>21.2g/100g)"
Multigrain Tortilla Chips,"Tortilla, corn, other chips"
Whole Grain Crackers,"Crackers, excludes saltines"
Creamy Salsa Verde,Tomato-based condiments
Peach Mango Salsa,Dips
Organic Salsa,Dips
Peanut Butter Shell Topping,Toppings
Creamy Cilantro Sauce,Other sauces
Munchos,Potato chips
Kettle Cooked Potato Chips,Potato chips
Cheddar Potato Chips,Potato chips
Blue Cheese Spread,Cheese
Craft Beer Salsa,Dips
Green Onion Dip Mix,Dips
Dulce de Leche Caramel Spread,Toppings
Ranch Dips Mix,Dips
Low Sodium Salsa,Dips
Ranch Dip Mix,Dips
Sour Cream & Onion Chips,Potato chips
Mesquite BBQ Potato Chips,Potato chips
Lime Flavored Sandwich Cookies,Cookies and brownies
Spinach Dip Mix,Dips
Dip Variety Pack,Dips
Salt and Vinegar Chips,Potato chips
Salt & Vinegar Potato Chips,Potato chips
Koala's March Chocolate,Candy containing chocolate
Queso Cheese Flavored Chips,Potato chips
Keto Sandwich Cookies,Cookies and brownies
Pizza Chips,Potato chips
Queso Sauce,Dips
Gouda Cheese Spread,Cheese
Honey Barbeque Potato Chips,Potato chips
Queso Variety Pack,Dips
